TRIP_NO,route_index,mean_distance,median_distance,max_distance,inlier_ratio,num_routes
TRIP_438032,1,254.20395328816542,121.64836436952139,2666.6127397999817,0.40425531914893614,6
TRIP_438042,4,5380.229929616321,2579.2613812392,14957.510460144897,0.14634146341463414,6
TRIP_438161,0,272.0518001552981,136.18778819007076,1919.2653140920306,0.3625,6
TRIP_438185,2,764.595427386734,729.2521756381306,3482.037737870764,0.25,6
TRIP_438208,1,248.2296956690013,100.49785609747192,1995.1297228783828,0.49473684210526314,6
TRIP_438245,4,267.2640435327358,146.99281070757752,1561.9186258298623,0.42424242424242425,6
TRIP_438314,0,173.65050082235624,88.88267719791973,1873.7065663864666,0.625,6
TRIP_438323,2,395.59318724847776,168.68497014915135,2666.6127397999817,0.4074074074074074,6
TRIP_438336,0,456.7964574715721,118.73306946799151,3625.0577333529077,0.42105263157894735,6
TRIP_438341,3,210.65926148181694,111.81369621657397,1873.7065663864666,0.4803921568627451,6
TRIP_438394,5,221.09739557408696,40.150993607819544,1015.9600552459967,0.6530612244897959,6
TRIP_438400,5,654.3698673868905,230.89964282805184,1966.0584351224813,0.29545454545454547,6
TRIP_438452,4,270.7028572258939,117.38412651705976,2023.989630856686,0.4470588235294118,6
TRIP_438540,5,350.3113375816984,127.46802038952856,3495.886567776091,0.41509433962264153,6
TRIP_438541,0,1019.3016280308266,136.51389425020545,5638.805481750068,0.3815789473684211,6
TRIP_438587,0,472.8418983586478,228.39630908264854,5306.6454330910565,0.35135135135135137,6
TRIP_438616,5,549.6010995296588,223.84369156832213,2491.0654834051834,0.2978723404255319,6
TRIP_438645,0,431.2865803834312,155.75728721602454,3482.037737870764,0.37735849056603776,6
TRIP_438679,2,231.94873489988666,85.36281170079877,3420.575700033235,0.5694444444444444,6
TRIP_438691,1,418.28909222613237,147.86704064786505,3400.380876905497,0.4583333333333333,6
TRIP_438707,0,323.15861599918446,117.18980230704432,2706.4478965965686,0.45161290322580644,6
TRIP_438741,3,241.85739825315807,64.16658909880152,2666.6127397999817,0.7012987012987013,6
TRIP_438756,0,520.104991138869,199.88156131645096,3305.6853837852514,0.24175824175824176,6
TRIP_438770,2,239.24112630886856,108.24936674529437,2066.980088226933,0.4936708860759494,6
TRIP_438842,0,2165.4391702705743,1285.2539025720462,5779.28496668031,0.234375,6
TRIP_438949,1,2572.2340363457915,337.6745685491752,13796.708471529928,0.33783783783783783,5
TRIP_439053,2,1483.027369202206,1513.6476129870778,4533.957182524953,0.12142857142857143,6
TRIP_439199,4,1411.8454795286148,93.91433029075012,6558.507667054281,0.5102040816326531,6
TRIP_439271,0,309.61416550676245,151.20235345569097,2786.827852345787,0.3717948717948718,6
TRIP_439288,0,368.07504784524843,176.09342643590537,2286.1453830037253,0.43523316062176165,6
TRIP_439318,5,462.9849162124656,93.72675575163474,1783.5405062078244,0.5102040816326531,6
TRIP_439344,0,183.26043417866825,64.58061034683891,2105.8754874466435,0.618421052631579,6
TRIP_439393,2,313.20608611938644,111.4168450725472,2722.741522945246,0.4125,6
TRIP_439443,0,244.43085596418953,102.99160897064854,3463.4528253298113,0.5,6
TRIP_439454,4,156.6798005726794,26.47746436395437,3420.575700033235,0.8051948051948052,6
TRIP_439462,5,235.9475844677254,81.33272032099586,3420.575700033235,0.6140350877192983,6
TRIP_439484,0,112.64359606969087,18.819747099932044,1319.4730571120158,0.7317073170731707,6
TRIP_439546,4,306.3517658888501,86.89559291181033,2489.4767250934724,0.5217391304347826,6
TRIP_439555,3,148.9629669062003,63.43004699146725,1873.7065663864666,0.5632183908045977,6
TRIP_439599,4,248.15289975815685,80.9204697730329,2555.4146125099855,0.6545454545454545,6
TRIP_439607,5,434.88370400368814,192.90095647853207,2666.6127397999817,0.23529411764705882,6
TRIP_439772,0,192.3202585590466,91.09433882881603,1913.7306676556707,0.5909090909090909,6
TRIP_439837,5,463.7435472071675,195.4250149460318,2123.103539527276,0.3333333333333333,6
TRIP_439847,1,170.99954931243306,66.16279683132795,1989.2041854073498,0.6129032258064516,6
TRIP_439849,1,96.19439889000819,37.6063267697429,450.13819416947297,0.6027397260273972,6
TRIP_439898,5,525.0600086292178,101.18974960375604,3461.6497902439933,0.5,6
TRIP_439911,5,704.9440278546547,73.01396870456605,5171.243776864702,0.5423728813559322,6
TRIP_439913,4,379.87747277424586,120.72161046611106,2469.5622890340464,0.4482758620689655,6
TRIP_439965,4,1525.1648143164125,444.11942705184265,4408.169515221625,0.29508196721311475,6
TRIP_440025,0,384.3326147268484,76.479858381479,3569.173272822687,0.5789473684210527,6
TRIP_440094,5,364.3231000447218,134.08845401193145,3456.64315158616,0.47368421052631576,6
TRIP_440099,2,521.2965362142252,380.58920230064626,2438.6919528991366,0.27906976744186046,6
TRIP_440126,5,334.0662001726641,185.50001062183085,2258.4218599528963,0.30604982206405695,6
TRIP_440172,3,173.39596756835232,126.21532394701642,402.92359595396937,0.36666666666666664,6
TRIP_440180,3,549.9005194113495,235.31086040016717,2716.301568311017,0.24,6
TRIP_440286,5,666.2423937021064,257.7307527244669,4845.232342135608,0.37037037037037035,6
TRIP_440393,5,1256.8980151499316,181.08684735712401,5292.753872165093,0.43636363636363634,6
TRIP_440408,0,227.65422846517882,55.31112683566573,3495.886567776091,0.59375,6
TRIP_440438,0,352.08723639079057,137.4546710126005,3520.1591864367533,0.3333333333333333,6
TRIP_440462,0,288.78269754909246,135.0069588462897,2064.733105567222,0.37037037037037035,6
